EMOTYPE,EMOLEVEL,LOADLEVEL,POSI1,POSI2,POSILOGI,ACCU1,ACCU2,RT1,RT2
ANGRY,LOW,HIGH,0,0,1,1.000000,1.000000,1.549478,0.799641
ANGRY,LOW,HIGH,0,0,1,1.000000,1.000000,0.832866,1.766206
ANGRY,LOW,HIGH,1,1,1,1.000000,1.000000,0.766492,0.782939
ANGRY,LOW,HIGH,0,1,0,1.000000,1.000000,0.766419,1.083012
ANGRY,LOW,HIGH,0,0,1,1.000000,1.000000,0.816203,0.782953
ANGRY,LOW,HIGH,1,0,0,1.000000,0.000000,0.816492,0.882930
ANGRY,LOW,HIGH,0,1,0,1.000000,0.000000,0.866195,0.732942
ANGRY,LOW,HIGH,1,0,0,1.000000,1.000000,0.949712,0.649663
ANGRY,LOW,HIGH,0,0,1,1.000000,1.000000,0.999818,0.866440
ANGRY,STRONG,HIGH,1,1,1,1.000000,1.000000,1.149812,0.718201
ANGRY,STRONG,HIGH,1,0,0,1.000000,0.000000,0.833105,0.900854
ANGRY,STRONG,HIGH,0,0,1,1.000000,1.000000,0.982853,0.867480
ANGRY,STRONG,HIGH,0,0,1,1.000000,1.000000,1.016459,0.967446
ANGRY,STRONG,HIGH,1,0,0,1.000000,0.000000,0.799502,1.017576
ANGRY,STRONG,HIGH,1,0,0,1.000000,0.000000,0.999805,0.900822
ANGRY,STRONG,HIGH,1,0,0,0.000000,0.000000,1.016480,1.134127
ANGRY,STRONG,HIGH,1,1,1,1.000000,1.000000,1.233059,0.684281
ANGRY,STRONG,HIGH,1,1,1,1.000000,0.000000,0.749530,1.034027
ANGRY,STRONG,HIGH,0,1,0,1.000000,1.000000,0.749858,0.717433
ANGRY,STRONG,HIGH,0,1,0,1.000000,0.000000,1.232762,0.950821
ANGRY,STRONG,HIGH,0,0,1,1.000000,0.000000,1.032984,1.200770
ANGRY,STRONG,HIGH,0,0,1,1.000000,1.000000,0.949571,0.684266
ANGRY,STRONG,HIGH,1,1,1,1.000000,1.000000,0.749754,1.050673
ANGRY,STRONG,HIGH,0,1,0,1.000000,0.000000,0.932946,1.284143
ANGRY,STRONG,HIGH,0,0,1,1.000000,1.000000,0.916148,0.634168
ANGRY,STRONG,HIGH,1,0,0,1.000000,1.000000,0.899824,0.717466
